Model,Model_2
1,284
15002WD,231
15004WD,129
1500Laramie,259
1500Tradesman,217
200LX,159
200Limited,50
200S,315
200Touring,498
25002WD,516
25004WD,42
3,102
300300C,349
300300S,97
3004dr,94
300Base,307
300Limited,207
300Touring,67
35004WD,181
350Z2dr,64
4Runner2WD,439
4Runner4WD,152
4Runner4dr,344
4RunnerLimited,363
4RunnerRWD,372
4RunnerSR5,220
4RunnerTrail,390
5,28
500Pop,463
6,147
7,346
911,393
9112dr,343
A34dr,373
A44dr,184
A64dr,179
A8,426
AcadiaAWD,103
AcadiaFWD,17
Accent4dr,447
Accord,33
AccordEX,351
AccordEX-L,157
AccordLX,34
AccordLX-S,239
AccordSE,424
Altima4dr,79
Armada2WD,436
Armada4WD,75
Avalanche2WD,483
Avalanche4WD,342
Avalon4dr,337
AvalonLimited,112
AvalonTouring,429
AvalonXLE,330
Azera4dr,502
Boxster2dr,395
C-Class4dr,195
C-ClassC,197
C-ClassC300,204
C-ClassC350,387
C702dr,350
CC4dr,383
CR-V2WD,338
CR-V4WD,203
CR-VEX,60
CR-VEX-L,241
CR-VLX,51
CR-VSE,188
CR-ZEX,456
CT,421
CTCT,397
CTS,25
CTS-V,177
CTS4dr,158
CX-7FWD,170
CX-9AWD,416
CX-9FWD,405
CX-9Grand,162
CX-9Touring,476
Caliber4dr,435
Camaro2dr,190
CamaroConvertible,111
CamaroCoupe,1
Camry,205
Camry4dr,68
CamryBase,438
CamryL,210
CamryLE,14
CamrySE,101
CamryXLE,137
Canyon2WD,508
Canyon4WD,488
CanyonCrew,165
CanyonExtended,501
CayenneAWD,52
Cayman2dr,486
Challenger2dr,149
ChallengerR/T,328
Charger4dr,297
ChargerSE,380
ChargerSXT,127
CherokeeLimited,54
CherokeeSport,364
Civic,31
CivicEX,224
CivicEX-L,90
CivicLX,80
CivicSi,418
Cobalt2dr,503
Cobalt4dr,487
Colorado2WD,272
Colorado4WD,305
ColoradoCrew,294
ColoradoExtended,459
Compass4WD,327
CompassLatitude,132
CompassLimited,497
CompassSport,27
Continental,428
Cooper,108
Corolla4dr,243
CorollaL,172
CorollaLE,87
CorollaS,83
Corvette2dr,131
CorvetteConvertible,478
CorvetteCoupe,213
CruzeLT,285
CruzeSedan,32
DTS4dr,183
Dakota2WD,154
Dakota4WD,406
Durango2WD,141
Durango4dr,286
DurangoAWD,85
DurangoSXT,361
E-ClassE,107
E-ClassE320,471
E-ClassE350,180
ES,150
ESES,321
Eclipse3dr,232
Econoline,316
EdgeLimited,100
EdgeSE,385
EdgeSEL,21
EdgeSport,23
Elantra,130
Elantra4dr,140
ElantraLimited,66
Element2WD,437
Element4WD,396
EnclaveConvenience,335
EnclaveLeather,95
EnclavePremium,148
Eos2dr,324
EquinoxAWD,119
EquinoxFWD,121
Escalade,214
Escalade2WD,302
Escalade4dr,345
EscaladeAWD,176
Escape4WD,48
Escape4dr,432
EscapeFWD,91
EscapeLImited,481
EscapeLimited,515
EscapeS,264
EscapeSE,18
EscapeXLT,399
"Excursion137""",215
Expedition,269
Expedition2WD,469
Expedition4WD,155
ExpeditionLimited,128
ExpeditionXLT,116
Explorer,460
Explorer4WD,125
Explorer4dr,491
ExplorerBase,292
ExplorerEddie,518
ExplorerFWD,403
ExplorerLimited,84
ExplorerXLT,6
Express,19
F-1502WD,106
F-1504WD,5
F-150FX2,366
F-150FX4,118
F-150King,479
F-150Lariat,56
F-150Limited,466
F-150Platinum,270
F-150STX,74
F-150SuperCrew,291
F-150XL,235
F-150XLT,20
F-250King,420
F-250Lariat,402
F-250XL,336
F-250XLT,153
F-350King,513
F-350Lariat,431
F-350XL,445
F-350XLT,62
FJ,144
FX35AWD,225
FiestaS,524
FiestaSE,209
FitSport,462
FlexLimited,24
FlexSE,425
FlexSEL,237
Focus4dr,47
Focus5dr,401
FocusS,407
FocusSE,117
FocusSEL,356
FocusST,507
FocusTitanium,320
Forester2.5X,169
Forester4dr,271
Forte,382
ForteEX,359
ForteLX,163
ForteSX,400
Frontier,443
Frontier2WD,279
Frontier4WD,164
Fusion4dr,275
FusionHybrid,267
FusionS,240
FusionSE,73
FusionSEL,448
G35,389
G37,114
G64dr,392
GLI4dr,473
GS,81
GSGS,304
GTI2dr,384
GTI4dr,309
GX,287
GXGX,199
Galant4dr,465
Genesis,444
Golf,339
Grand,3
Highlander,394
Highlander4WD,222
Highlander4dr,417
HighlanderBase,404
HighlanderFWD,258
HighlanderLimited,277
HighlanderSE,509
IS,43
ISIS,156
Impala4dr,57
ImpalaLS,354
ImpalaLT,212
Impreza,29
Impreza2.0i,253
ImprezaSport,236
Jetta,77
JourneyAWD,233
JourneyFWD,10
JourneySXT,281
LS,187
LSLS,229
LX,93
LXLX,206
LaCrosse4dr,191
LaCrosseAWD,457
LaCrosseFWD,317
Lancer4dr,494
Land,472
Legacy,39
Legacy2.5i,71
Legacy3.6R,99
Liberty4WD,69
LibertyLimited,521
LibertySport,171
Lucerne4dr,329
M-ClassML350,9
MDX4WD,257
MDXAWD,245
MKXAWD,355
MKXFWD,451
MKZ4dr,375
MX5,334
Malibu,145
Malibu1LT,104
Malibu4dr,246
MalibuLS,135
MalibuLT,53
Matrix5dr,388
Maxima4dr,98
Mazda34dr,322
Mazda35dr,228
Mazda64dr,202
Milan4dr,174
Model,505
Monte,377
Murano2WD,216
MuranoAWD,0
MuranoS,411
Mustang2dr,160
MustangBase,303
MustangDeluxe,301
MustangGT,143
MustangPremium,70
MustangShelby,357
Navigator,289
Navigator2WD,310
Navigator4WD,340
Navigator4dr,86
New,326
OdysseyEX,175
OdysseyEX-L,15
OdysseyLX,371
OdysseyTouring,288
Optima4dr,296
OptimaEX,221
OptimaLX,113
OptimaSX,256
Outback2.5i,166
Outback3.6R,409
Outlander,234
Outlander2WD,511
Outlander4WD,434
PT,467
PacificaLimited,454
PacificaTouring,178
Passat,196
Passat4dr,22
Pathfinder2WD,470
Pathfinder4WD,16
PathfinderS,369
PathfinderSE,474
Patriot4WD,510
PatriotLatitude,136
PatriotLimited,458
PatriotSport,120
Pilot2WD,312
Pilot4WD,249
PilotEX,358
PilotEX-L,37
PilotLX,227
PilotSE,450
PilotTouring,360
Prius,244
Prius5dr,173
PriusBase,490
